marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
Volvo,XC90 II T8 AWD Recharge Plus,A,Gasolina/Híbrido,Vehículos híbrido con recarga exterior,2.0,Station Wagon,40,13.9,-,-
Baic,BJ40P 2.0T-GDI 8AT E6,A,Gasolina,Combustión,2.0,Station Wagon,254,7.0,11.6,9.3
Baic,BJ40P 2.0T-GDI 8AT 4WD E6,A,Gasolina,Combustión,2.0,Station Wagon,254,7.0,11.6,9.3
Suzuki,Baleno 1.5 MT 2WD,M,Gasolina,Combustión,1.5,Hatchback,130,14.5,20.8,18.0
Kia,Cerato EX 1.6L 6MT,M,Gasolina,Combustión,1.6,Sedán,169,10.4,16.8,13.7
Ford,Mustang GT Coupe,A,Gasolina,Combustión,5.0,Coupé,284,5.3,11.5,8.1
Ford,Mustang GT Convertible,A,Gasolina,Combustión,5.0,Convertible,284,5.3,11.5,8.1
Ford,Mustang Mach 1,A,Gasolina,Combustión,5.0,Coupé,284,5.3,11.5,8.1
Baic,BJ40P 2.0 TDI 8AT 4WD E6,A,Diésel ,Combustión,2.0,Station Wagon,232,9.3,13.2,11.4
Baic,BJ40P 2.0 TDI 8AT 2WD E6,A,Diésel ,Combustión,2.0,Station Wagon,232,9.3,13.2,11.4
Exeed Born For More,Exeed VX 2.0T DCT Unlimited AWD,T/A DCT,Gasolina,Combustión,2.0,Station Wagon,224,8.8,12.0,10.6
Hyundai,Venue QX 1.6 MPI 6AT E6,A,Gasolina,Combustión,1.6,Station Wagon,170,10.2,16.5,13.4
Hyundai,Venue QX 1.6 MPI 6MT E6,M,Gasolina,Combustión,1.6,Station Wagon,163,10.7,17.0,14.0
Exeed Born For More,Exeed TXL 2.0T DCT Unlimited AWD,T/A DCT,Gasolina,Combustión,2.0,Station Wagon,203,8.9,14.3,11.8
BMW,iX3 M Station Wagon,A,N/A,Vehículo eléctrico,0.0,Station Wagon,-,-,-,-
Gac,GS3 Power,A,Gasolina,Combustión,1.5,Station Wagon,172,10.1,17.2,13.7
Gac,GS3 Power AT,A,Gasolina,Combustión,1.5,Station Wagon,172,10.1,17.2,13.7
Gac,GS3 Power MT,M,Gasolina,Combustión,1.5,Station Wagon,172,10.1,17.2,13.7
Gac,GS3 Power MT GS,M,Gasolina,Combustión,1.5,Station Wagon,172,10.1,17.2,13.7
Exeed Born For More,Exeed LX 1.5T CVT Advanced,A,Gasolina,Combustión,1.5,Station Wagon,191,9.8,14.7,12.5
Exeed Born For More,Exeed LX 1.5T CVT Unlimited,A,Gasolina,Combustión,1.5,Station Wagon,191,9.8,14.7,12.5
Hyundai,Kona OS 1.6 GDI 6DCT HEV E6,A,Gasolina/Híbrido,Vehículos híbridos sin recarga exterior,1.6,Station Wagon,98,25.0,22.2,23.3
BMW,M760Li xDrive,A,Gasolina,Combustión,6.6,Sedán,297,5.3,10.3,7.7
Porsche,Panamera 4S E-Hybrid G2 II,A,Gasolina/Híbrido,Vehículos híbrido con recarga exterior,2.9,Sedán,61,27.3,-,-
Porsche,Panamera 4S E-Hybrid Executive,A,Gasolina/Híbrido,Vehículos híbrido con recarga exterior,2.9,Station Wagon,61,27.3,-,-
Porsche,Panamera 4S E-Hybrid Sport Turismo,A,Gasolina/Híbrido,Vehículos híbrido con recarga exterior,2.9,Station Wagon,61,27.3,-,-
Jeep,Renegade Longitude 1.3 AT6,A,Gasolina,Combustión,1.3,Station Wagon,179,9.5,16.6,13.0
Jeep,Renegade Sport 1.3 AT6,A,Gasolina,Combustión,1.3,Station Wagon,179,9.5,16.6,13.0
BMW,M240i xDrive Coupe,A,Gasolina,Combustión,3.0,Coupé,185,9.7,15.2,12.5
BMW,M240i Coupe,A,Gasolina,Combustión,3.0,Coupé,185,9.7,15.2,12.5
Volkswagen,Jetta 1.4 T/A,A,Gasolina,Combustión,1.4,Sedán,146,12.0,18.9,15.6
Jaguar,E-Pace 2.0i S,A,Gasolina/Híbrido,Vehículo Microhíbrido,2.0,Station Wagon,184,9.6,14.7,12.3
Jaguar,E-Pace 2.0i SE,A,Gasolina/Híbrido,Vehículo Microhíbrido,2.0,Station Wagon,184,9.6,14.7,12.3
Kia,Cerato 5 GT 1.6L Turbo-GDI 7DCT,A,Gasolina,Combustión,1.6,Hatchback,162,10.4,17.6,14.1
Chery,Tiggo 8 Pro Max 2.0T DCT AWD,A,Gasolina,Combustión,2.0,Station Wagon,222,8.1,13.2,10.7
Volkswagen,Tiguan 2.0 TSI AT,A,Gasolina,Combustión,2.0,Station Wagon,212,8.9,12.7,11.0
